Sound,Probability,Time,Date,Distance
driller,100.0,05:12:37 : PM,2019-02-04,null
driller,100.0,05:12:42 : PM,2019-02-04,null
driller,100.0,05:12:48 : PM,2019-02-04,null
driller,100.0,05:12:54 : PM,2019-02-04,null
driller,100.0,05:12:59 : PM,2019-02-04,null
driller,100.0,05:13:05 : PM,2019-02-04,null
driller,100.0,05:13:10 : PM,2019-02-04,null
driller,100.0,05:13:16 : PM,2019-02-04,null
driller,100.0,05:13:22 : PM,2019-02-04,null
driller,100.0,05:13:27 : PM,2019-02-04,null
driller,100.0,05:13:33 : PM,2019-02-04,null
driller,100.0,05:13:38 : PM,2019-02-04,null
driller,100.0,05:13:44 : PM,2019-02-04,null
driller,100.0,05:13:49 : PM,2019-02-04,null
driller,100.0,05:13:55 : PM,2019-02-04,null
driller,100.0,05:14:01 : PM,2019-02-04,null
driller,100.0,05:14:06 : PM,2019-02-04,null
driller,100.0,05:14:12 : PM,2019-02-04,null
driller,100.0,05:14:17 : PM,2019-02-04,null
driller,100.0,05:14:22 : PM,2019-02-04,null
driller,100.0,05:14:28 : PM,2019-02-04,null
driller,100.0,05:14:33 : PM,2019-02-04,null
driller,100.0,05:14:39 : PM,2019-02-04,null
driller,100.0,05:14:44 : PM,2019-02-04,null
driller,100.0,05:14:50 : PM,2019-02-04,null
driller,100.0,05:14:55 : PM,2019-02-04,null
driller,100.0,05:15:01 : PM,2019-02-04,null
driller,100.0,05:15:06 : PM,2019-02-04,null
driller,100.0,05:15:12 : PM,2019-02-04,null
driller,100.0,05:15:17 : PM,2019-02-04,null
driller,100.0,05:15:23 : PM,2019-02-04,null
driller,100.0,05:15:28 : PM,2019-02-04,null
driller,100.0,05:15:34 : PM,2019-02-04,null
driller,100.0,05:15:39 : PM,2019-02-04,null
driller,100.0,05:15:45 : PM,2019-02-04,null
driller,100.0,05:15:50 : PM,2019-02-04,null
driller,100.0,05:15:56 : PM,2019-02-04,null
driller,100.0,05:16:01 : PM,2019-02-04,null
driller,100.0,05:16:07 : PM,2019-02-04,null
driller,100.0,05:16:12 : PM,2019-02-04,null
driller,100.0,05:16:18 : PM,2019-02-04,null
driller,100.0,05:16:23 : PM,2019-02-04,null
driller,100.0,05:16:28 : PM,2019-02-04,null
driller,100.0,05:16:34 : PM,2019-02-04,null
driller,100.0,05:16:39 : PM,2019-02-04,null
driller,100.0,05:16:45 : PM,2019-02-04,null
driller,100.0,05:16:50 : PM,2019-02-04,null
driller,100.0,05:16:56 : PM,2019-02-04,null
driller,100.0,05:17:01 : PM,2019-02-04,null
driller,100.0,05:17:07 : PM,2019-02-04,null
